area,good,year,expo
Manufacturas,"Art’culos manufacturados, clasificados principalmente segœn el material",2009,3339748.388
Manufacturas,"Art’culos manufacturados, clasificados principalmente segœn el material",2010,3199113.064
Manufacturas,"Art’culos manufacturados, clasificados principalmente segœn el material",2011,3325631.217
Manufacturas,"Art’culos manufacturados, clasificados principalmente segœn el material",2012,3412985.509
Manufacturas,"Art’culos manufacturados, clasificados principalmente segœn el material",2013,2888121.786
Manufacturas,"Art’culos manufacturados, clasificados principalmente segœn el material",2014,2820901.223
Manufacturas,Maquinaria y equipo de transporte,2006,1519779.605
Manufacturas,Maquinaria y equipo de transporte,2007,2208386.216
Manufacturas,Maquinaria y equipo de transporte,2008,1884481.633
Manufacturas,Maquinaria y equipo de transporte,2009,1421518.112
Manufacturas,Maquinaria y equipo de transporte,2010,1143394.926
Manufacturas,Maquinaria y equipo de transporte,2011,1216560.618
Manufacturas,Maquinaria y equipo de transporte,2012,1492744.35
Manufacturas,Maquinaria y equipo de transporte,2013,1834656.594
Manufacturas,Maquinaria y equipo de transporte,2014,1529915.308
Manufacturas,Art’culos manufacturados diversos,2006,1815741.792
Manufacturas,Art’culos manufacturados diversos,2007,2567744.288
Manufacturas,Art’culos manufacturados diversos,2008,2528011.573
Manufacturas,Art’culos manufacturados diversos,2009,1531898.48
Manufacturas,Art’culos manufacturados diversos,2010,1439078.252
Manufacturas,Art’culos manufacturados diversos,2011,1578319.997
Manufacturas,Art’culos manufacturados diversos,2012,1619505.464
Manufacturas,Art’culos manufacturados diversos,2013,1489477.006
Manufacturas,Art’culos manufacturados diversos,2014,1355872.794
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2006,833699.0476
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2007,804902.0083
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2008,1032888.073
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2009,1567581.026
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2010,2129205.204
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2011,2796212.148
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2012,3413014.269
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2013,2265213.388
Otros,Mercanc’as y operaciones no clasificadas en otro rubro de la CUCI,2014,1596065.113
Otros,Armas y municiones,2006,2411.47373
Otros,Armas y municiones,2007,715.17276
Otros,Armas y municiones,2008,1029.09509
Otros,Armas y municiones,2009,3422.94302
Otros,Armas y municiones,2010,4030.59283
Otros,Armas y municiones,2011,11934.70059
Otros,Armas y municiones,2012,12977.21185
Otros,Armas y municiones,2013,9891.50762
Otros,Armas y municiones,2014,3682.68188

,,,,,,,,,,
