Month,European Union,Canada,United States,Mexico,Bolivia,Ecuador,Peru,Argentina,Brazil,Paraguay,Uruguay,Venezuela,China,Japan,India,Panama,Other Countries,Total Exports
11-Mar,"607,285","85,256","2,207,768","80,522","30,219","197,311","98,556","51,537","100,653",616,"1,391","140,153","56,707","62,868","88,559","194,598","889,315","4,893,312"
11-Apr,"638,453","25,920","1,885,186","52,258","11,678","162,376","180,352","14,274","85,762",914,905,"145,177","231,711","79,262","16,441","153,809","1,138,617","4,823,094"
11-May,"856,680","51,717","1,498,249","58,861","12,003","165,105","88,710","13,938","101,310",985,"1,070","137,485","425,019","32,018",739,"296,844","1,412,978","5,153,710"
11-Jun,"689,733","31,749","1,950,849","55,662","8,560","154,946","82,710","17,125","106,051","1,548","1,625","147,169","235,128","50,622","8,180","231,513","935,566","4,708,737"
11-Jul,"936,118","29,784","1,511,593","63,012","8,808","138,438","132,918","21,039","159,960",772,"1,131","155,013","267,082","39,986","1,151","147,190","1,252,235","4,866,229"
11-Aug,"670,260","148,996","1,860,008","54,348","9,310","160,048","89,076","33,946","144,602","1,040","1,569","138,288","115,383","35,234","289,104","73,616","1,116,817","4,941,645"
11-Sep,"886,367","31,687","1,811,193","55,330","9,352","167,400","94,618","45,833","119,440","1,384","1,634","152,963","82,999","25,850","19,587","105,038","971,726","4,582,401"
11-Oct,"717,196","44,022","2,014,940","59,674","11,873","167,276","129,289","23,332","102,055","1,322","1,636","165,776","85,621","24,242","10,523","217,037","997,182","4,772,996"
11-Nov,"785,392","34,159","2,234,297","66,197","9,376","156,324","143,739","20,675","110,397","1,090","4,427","188,868","68,711","33,148","120,364","227,814","942,352","5,147,330"
11-Dec,"1,033,819","54,721","2,005,437","63,304","12,841","170,543","104,139","44,613","94,813",923,"3,710","171,567","168,159","23,234","14,113","257,398","1,083,403","5,306,738"
12-Jan,"745,636","32,402","1,724,639","59,830","8,748","150,804","176,325","16,425","113,506","1,727","1,245","136,240","450,666","26,726","11,303","416,726","712,826","4,785,773"
12-Feb,"953,886","22,256","1,900,942","57,830","8,546","160,704","99,028","14,625","104,165",721,881,"160,459","347,804","36,923","17,079","101,365","1,012,102","4,999,318"
12-Mar,"821,563","54,946","2,318,580","73,293","8,600","170,780","107,624","16,667","158,846",972,"1,113","207,247","215,616","29,409","15,900","195,090","1,316,109","5,712,355"
12-Apr,"605,455","20,757","2,126,623","66,249","8,189","128,098","130,984","32,180","90,824","1,068",950,"198,217","237,767","26,196","125,883","92,789","1,118,703","5,010,929"
12-May,"816,988","75,243","1,720,312","68,073","10,607","173,125","135,769","14,362","128,422","1,142","1,830","277,200","632,827","31,998","4,418","135,477","1,175,582","5,403,375"
12-Jun,"818,298","22,376","1,879,053","46,020","7,389","159,904","85,300","19,166","95,921","1,058","1,520","248,826","114,894","30,129","12,976","187,500","833,102","4,563,431"
12-Jul,"747,726","72,562","1,672,889","92,237","11,314","160,886","136,433","27,352","108,668",771,788,"217,707","87,006","28,241","303,557","426,906","881,863","4,976,905"
12-Aug,"609,099","32,449","1,795,676","69,720","9,498","159,746","99,592","26,206","122,396","1,520","1,467","259,593","165,735","44,659","37,043","252,066","884,315","4,570,780"
12-Sep,"678,939","23,821","1,657,153","89,289","10,855","156,981","143,978","38,160","59,719","1,339","1,031","221,772","168,519","24,585","117,100","224,051","1,293,109","4,910,403"
12-Oct,"838,386","37,037","1,758,111","82,747","13,655","163,302","163,509","21,036","114,061","1,351","1,949","234,248","259,252","37,139","202,471","412,183","1,092,493","5,432,930"
12-Nov,"710,657","39,193","1,621,244","71,484","13,720","171,062","128,099","45,628","101,743","1,375","1,287","218,944","198,166","18,203","298,533","312,985","855,013","4,807,338"
12-Dec,"782,513","33,937","1,658,061","58,331","14,134","155,105","175,446","16,448","92,307","1,208","6,062","175,507","464,830","26,032","216,448","158,872","916,387","4,951,628"
13-Jan,"910,757","32,204","1,385,432","43,315","12,925","136,898","100,492","31,127","112,886","1,156","1,320","155,736","737,891","33,750","134,513","320,784","698,011","4,849,196"
13-Feb,"639,170","17,045","1,734,765","86,894","9,926","169,033","86,426","92,903","101,000",928,"1,636","180,464","287,893","27,614","228,383","322,174","681,513","4,667,767"
13-Mar,"506,743","14,785","1,874,515","69,319","11,081","140,076","133,331","11,955","83,829","1,721","1,244","190,646","368,972","20,867","210,042","222,381","756,336","4,617,842"
13-Apr,"534,670","77,090","1,816,648","65,954","14,135","190,056","104,781","38,077","135,741","1,719","1,584","196,845","336,772","40,195","488,454","108,530","798,233","4,949,487"
13-May,"819,514","22,767","1,714,565","95,526","15,134","205,631","136,140","77,607","140,201","1,553",984,"240,279","424,349","40,147","21,513","504,021","872,539","5,332,470"
13-Jun,"791,978","31,234","1,613,855","79,099","8,089","158,175","87,699","36,179","125,539",836,"1,691","211,274","233,408","35,061","218,005","305,693","933,023","4,870,839"
13-Jul,"857,815","25,046","1,531,947","59,302","9,418","179,988","115,591","21,693","129,338","1,072","2,414","111,600","257,830","28,384","450,060","124,050","746,751","4,652,297"
13-Aug,"1,009,087","24,771","1,574,585","62,029","11,667","132,957","136,907","16,968","84,926","2,067","1,774","176,720","469,058","40,137","115,317","234,179","884,556","4,977,706"
13-Sep,"832,388","23,840","1,440,112","62,133","11,908","158,876","84,497","33,772","191,376",697,"1,292","198,106","354,423","30,545","216,118","158,387","1,051,528","4,849,996"
13-Oct,"750,472","27,431","1,618,584","64,742","13,667","172,859","104,764","24,422","221,441","3,451","1,001","233,563","238,120","25,761","304,144","156,607","876,957","4,837,983"
13-Nov,"701,761","35,749","921,686","83,310","11,793","160,119","86,537","21,475","136,295",910,"1,037","227,777","783,603","23,657","457,795","320,843","971,609","4,945,955"
13-Dec,"935,473","58,190","1,232,186","92,185","13,982","170,102","96,768","26,846","128,056","2,257","7,250","132,817","611,644","41,737","148,722","441,617","1,132,288","5,272,122"
14-Jan,"789,061","46,222","1,298,224","62,936","7,847","120,222","110,042","20,954","104,048","1,112","1,036","248,553","543,360","27,319","583,775","225,118","619,002","4,808,832"
14-Feb,"591,391","39,472","1,304,744","88,485","9,203","160,709","77,224","10,588","93,197","1,250","1,014","181,989","455,824","32,618","329,846","358,309","535,578","4,271,442"
14-Mar,"585,584","80,212","1,000,824","101,392","10,851","153,946","95,034","17,167","117,560","1,187",995,"113,603","313,838","23,582","394,635","621,975","775,796","4,408,181"
14-Apr,"661,739","33,378","1,113,350","83,934","8,889","145,327","89,008","12,149","102,063","2,207",759,"143,278","734,692","38,119","225,008","290,949","631,827","4,316,676"
14-May,"1,449,162","58,635","1,404,186","83,080","11,878","159,383","126,555","25,188","243,141","1,365","1,022","181,988","565,885","42,184","10,183","360,099","771,933","5,495,867"
14-Jun,"916,724","31,458","960,960","63,279","11,070","140,236","77,235","14,438","215,631","2,088","1,862","142,191","862,165","35,170","216,872","193,637","813,278","4,698,293"
14-Jul,"798,180","39,630","1,197,552","72,956","13,898","170,492","115,674","16,039","144,167","1,559","4,645","161,726","455,947","42,999","246,168","337,034","1,230,265","5,048,930"
14-Aug,"740,487","37,332","1,332,527","74,013","12,884","152,328","129,743","17,294","132,432","1,416","1,806","187,253","618,441","38,440","186,911","112,155","1,037,628","4,813,091"
14-Sep,"982,075","149,302","1,326,018","81,697","14,213","167,337","99,637","14,156","135,453","1,576","1,933","155,018","336,796","29,018","167,598","344,471","1,063,013","5,069,314"
14-Oct,"696,503","50,844","1,055,986","84,349","14,492","172,221","98,172","14,150","95,396","2,253","2,231","152,437","519,424","38,621","76,884","207,253","1,020,674","4,301,890"
14-Nov,"613,091","37,978","964,391","54,259","11,635","158,257","77,804","25,914","103,644",821,"2,368","193,138","136,040","41,564","247,410","365,903","760,471","3,794,686"
14-Dec,"582,142","60,322","1,146,999","64,037","11,913","183,892","90,499","13,085","135,681","1,895","1,439","125,765","212,724","31,270","53,409","199,070","853,985","3,768,123"
15-Jan,"428,300","53,891","639,813","48,714","10,861","107,088","74,103","10,592","125,127",911,"7,363","79,294","177,251","45,234","78,753","287,844","705,224","2,880,362"
15-Feb,"555,535","28,613","880,598","50,030","11,179","150,457","108,347","17,531","80,954","1,493","1,618","127,615","34,778","34,461","5,164","315,693","723,941","3,128,007"
